id,author,year,title,tech,institution,booktile,editor,booktitle,publisher,Pages,address,month,note,journal,volume,pages,type,date,
445,"Knoop, J. and Steffen, B.,",,"The interprocedural coincidence theorem,",,,,U. Kastens and P. ed,"in Proceedings of the Fourth International Conference on Compiler Construction,","Pfahler,Springer-Verlag,",,"FRG, Paderborn",,"Lecture Notes in Computer Science,",,"Vol. 641,",pp.125-140,,"October 5-7,",
446,"Knoop, J. and Steffen, B.,",,"The interprocedural coincidence theorem,",,,,U. Kastens and P. ed.,"in Proceedings of the Fourth International Conference on Compiler Construction,","Pfahler,Springer-Verlag,",,"FRG, Paderborn,",,"Lecture Notes in Computer Science,",,"Vol. 641,",pp. 125-140,,"October 5-7,",
447,J. Knoop and B. Steffen.,,The interprocedural coincidence theorem.,,,,"In U. Kastens and P. Pfahler, editors,","Proceedings of the Fourth International Conference on Compiler Construction, Lecture Notes in Computer Science","Springer Verlag,",,,,,,"Vol. 641,",pages 125-140.,,1992.,
448,J. Knoop and B. Steffen.,,The interprocedural coincidence theorem.,,,,"In U. Kastens and P. Pfahler, editors,","Proceedings of the Fourth International Conference on Compiler Construction, Lecture Notes in Computer Science","Springer Verlag,",,,,,,"Vol. 641,",pages 125-140.,,1992.,
449,J. Knoop and B. Steffen.,,The interprocedural coincidence theorem.,,,,"U. Kastens and P. Pfahler (eds.),","In Proceedings of the Fourth International Conference on Compiler Construction,","Springer-Verlag,",,"Paderborn, FRG,",,"Appeared as Lecture Notes in Computer Science,",,"Vol. 641,","pages 125-140,",,October,
450,Jurgen Knopp.,,Improving the performance of parallel lisp by compile time analysis.,,,,"In U. Kastnes and P. Pfahler, editors,","Compiler Construction, volume 641 of Lecture Notes in Computer Science,","Springer-Verlag,",,,,,,,pages 271-277.,,1992.,
451,"Kriegel, H.P., Heep S., Fahldiek A., Mysliwitz N.",,"Query Processing of Geometric Objects with Free Form Boundaries in Spatial Databases".,,,,,"Proc. 4th Int. Conf. DEXA 1993,",,,,,,,,pp. 349-360.,,,
452,"Kriegel, H.P., Heep S., Fahldiek A., Mysliwitz N.",,"Query Processing of Geometric Objects with Free Form Boundaries in Spatial Databases".,,,,,"Proc. 4th Int. Conf. DEXA 1993,",,,,,,,,pp. 349-360.,,,
453,Koen Langendoen and Pieter Hartel. FCG:,,a code generator for lazy functional languages.,,,,"In P. Pfahler U. Kastens, editor,","Proceedings of the Conference on Compiler Construction,",Springer-Verlag.,,"Paderborn, Germany,",,,,,"pages 278-296,",,Oct 92.,
454,"K.G. Langendoen and P.H. Hartel, FCG:",,"a code generator for lazy functional languages, in Compiler construction (CC),",,,,"Springer Verlag LNCS 641, U. Kastens and P. Pfahler (eds),","Proceedings of the International Workshop on Compiler Construction,",,,"Paderborn, Germany,",,,,,"pp 278-296,",,October,
455,"David B. McDonald, Scott E. Fahlman, and Skef Wholey.",,Internal design of cmu common lisp on the IBM RT PC.,"Technical Report CMU-CS-87-157,","Carnegie Mellon University,",,,,,,,,,,,,,April,
456,P. Pfahler and U. Kastens.,,Language design and implementation by selection.,,,,,"In First ACM SIGPLAN Workshop on Domain-Specific Languages,",,,"Paris, France,",,,,,,,January,
457,P. Pfahler and U. Kastens.,,Language design and implementation by selection.,,,,,"In First ACM SIGPLAN Workshop on Domain-Specific Languages,",,,"Paris, France,",,,,,,,January,
458,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992).,
459,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992).,
460,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992).,
461,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992).,
462,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992).,
463,"Poggio, T., Fahle, M., and Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,1018-1021.,,(1992b).,
464,"Poggio, T., Fahle, M., & Edelman, S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,","256,",1018-1021.,,(1992),
465,"T. Poggio, M. Fahle, and S. Edelman.",,Fast Per ceptual Learning in Visual Hyperacuity.,,,,,,,,,,,"Science,",256,"1018-1021,",,May,
466,"Poggio T, Fahle M, and Edelman S.",,Fast perceptual learning in visual hyperacuity.,,,,,,,,,,,"Science,",256,"1018-1021,",,1992.,
467,"Poggio, T., Edelman, S., and Fahle, M.",,Learning of visual modules from examples: a framework for understanding adaptive visual performance.,,,,,"Computer Vision, Graphics, and Image Processing: Image Understanding,",,,,,,,56,22-30.,,(1992a).,
468,"T. Poggio, S. Edelman, and M. Fahle.",,"Learning of visual modules from examples: A framework for understanding adaptive visual performance. CVGIP: Image Understanding, Special Issue on Purposive, Qualitative, Active Vision,",,,,"Y. Aloimonos (Ed.),",,,,,,,,56,"22-30,",,1992.,
469,S. T. Pope and L. E.,,"Fahl en, Building sound into a virtual environment,",,,,,"in Proceedings of the 5th MultiG Workshop,",,,"(Stockholm, Sweden),",,,,,,,Dec.,
470,S. C. Shapiro.,,"Review of Fahlman, Scott NETL: A system for representing and using real-world knowledge.",,,,,,,,,,,"American Journal of Computational Linguistics,",6(3),"183-186,",,1980.,
471,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,Common Lisp: The Language.,,,,,,"Digital Press,",,"Burlington, Massachusetts,",,,,,,,1984.,
472,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,Common Lisp: The Language.,,,,,,"Digital Press,",,"Burlington, Massachusetts,",,,,,,,1984.,
473,"Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb.",,Common Lisp: The Language.,,,,,,"Digital Press,",,"Burlington, Massachusetts,",,,,,,,1984.,
474,"Steele, Guy L., Jr., Fahlman, Scott E., Gabriel, Richard P., Moon, David A., Weinreb, Daniel L., Bobrow, Daniel G., DeMichiel, Linda G., Keene, Sonya E., Kiczales, Gregor, Perdue, Crispin, Pitman, Kent M., Waters, Richard C., and White, Jon L.",,Common Lisp: The Language (Second Edition).,,,,,,"Digital Press (Bedford,",,"Massachusetts,",,,,,,,1990).,
475,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,,,,,,,"Digital Press,",,"Bedford, Massachusetts,",,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,,,,1990.,
476,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,,,,,,,"Digital Press,",,"Bedford, Massachusetts,",,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,,,,1990.,
477,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,,,,,,,"Digital Press,",,"Bedford, Massachusetts,",,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,,,,1990.,
478,"Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White.",,,,,,,,"Digital Press,",,"Bedford, Massachusetts,",,"ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72",,,,,1990.,
479,"S udholt, M. and Steigner, C.",,On interprocedural data flow analysis for object oriented languages.,,,,"In Kastens, U. and Pfahler, P., Eds.,","Proceedings of the Fourth International Conference on Compiler Construction,","Springer-Verlag,",,"Berlin, Germany,",,"volume 641 of Lecture Notes in Computer Science, (Paderborn, Germany, Oct.).",,,pp. 156-162.,,1992.,
480,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems a performance comparison of different learning algorihms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,December,
481,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski andS.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Weldel, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems: A performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
482,"Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzerowski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J., and Zhang, J.,",,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,","(revised version),","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,1991.,
483,"Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzerowski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J., and Zhang, J.,",,"The MONKS Problems: A Performance Comparison of Different Learning Algorithms,","(revised version),","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,1991.,
484,"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The MONK's problems A performance comparison of different learning algorithms.,"Technical Report CS-CMU-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
485,"Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The MONK's problems A performance comparison of different learning algorithms.,"Technical Report CS-CMU-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
486,"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fahlman, S., Fisher, D., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pachowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J., & Zhang, J.",,The MONK's Problem: A Performance Comparison of Different Learning Algorithms.,"(Technical Report CMU-CS-91-197),","Pittsburgh, PA: Carnegie Mellon.",,,,,,,,,,,,,(1991).,
487,"Thrun, S.; Bala, J.; Bloedorn, E.; Bratko, I.; Cestnik, B.; Cheng, J.; De Jong, K.; Dzeroski, S.; Fahlman, S.; Fisher, D.; Hamann, R.; Kaufman, K.; Keller, S.; Kononenko, I.; Kreuziger, J.; Michalski, R.; Mitchell, T.; Pachowicz, P.; Reich, Y.; Vafaie, H.; de Weldel, W. V.; Wenzel, W.; Wnek, J.; and Zhang, J.",,The monk's problems: A performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,",Carnegie Mellon University.,,,,,,,,,,,,,1991.,
488,"Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K.A., Dzeroski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J. and Zhang, J.,",,""The MONK's problems: A Performance Comparison of Different Learning Algorithms,"",,"CMU-CS-91-197, Carnegie Mellon University,",,,"Computer Science Reports,",,,"Pittsburgh, PA,",,,,,,,December l991.,
489,"Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnink, B., Cheng, J., DeJong, K.A., Dzeroski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J. and Zhang, J.,",,""The MONK's Problems: A Performance Comparison of Different Learning Algorithms,"","Technical Report,","Carnegie Mellon University,",,,,,,,,,,,,,December,
490,"S. B. Thrun, J. Bala, E. Bloendorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. D^zeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko, J. Kreuziger, R. S. Michalski, T. Mitchell, P. Pachovicz, Y. Re-ich, H. Vafaie, W. Van de Welde, W. Wentzel, J. Wnek, and J. Zhang.",,The monk's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","School of Computer Science, Carnegie-Mellon University., USA,",,,,,,,,,,,,,1991.,
491,"S. B. Thrun, J. Bala, E. Bloendorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. D^zeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko, J. Kreuziger, R. S. Michalski, T. Mitchell, P. Pachovicz, Y. Re-ich, H. Vafaie, W. Van de Welde, W. Wentzel, J. Wnek, and J. Zhang.",,The monk's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","School of Computer Science, Carnegie-Mellon University.,",,,,,,"Pittsburgh, PA - USA,",,,,,,,1991.,
492,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Re-ich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems a performance comparison of different learning algorihms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,December,
493,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang,",,The MONK's problems a performance comparison of different learning algorithms.,Tech. Report:,"CMU-CD-91-197, Carnegie Mellon University,",,,,,,,,,,,,,1991.,
494,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Weldel, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems: A performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
495,"Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik, John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann, Kenneth Kaufman, Stefan Keller, Igor Kononenko, Juergen Kreuziger, Ryszard S. Michalski, Tom Mitchell, Peter Pachowicz, Yoram Reich, Haleh Vafaie, Walter Van de Welde, Walter Wenzel, Janusz Wnek, and Jianping Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
496,"Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik, John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann, Kenneth Kaufman, Stefan Keller, Igor Kononenko, Juergen Kreuziger, Ryszard S. Michalski, Tom Mitchell, Peter Pachowicz, Yoram Reich, Haleh Vafaie, Walter Van de Welde, Walter Wenzel, Janusz Wnek, and Jianping Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
497,"Sebastian B. Thrun, Jerzy Bala, Eric Bloedorn, Ivan Bratko, Bojan Cestnik, John Cheng, Kenneth De Jong, Saso Dzeroski, Douglas Fisher, Scott E. Fahlman, Rainer Hamann, Kenneth Kaufman, Stefan Keller, Igor Kononenko, Juergen Kreuziger, Ryszard S. Michalski, Tom Mitchell, Peter Pachowicz, Yoram Reich, Haleh Vafaie, Walter Van de Welde, Walter Wenzel, Janusz Wnek, and Jianping Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
498,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang,",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CD-91-197,","Department of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,1991.,
499,"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pachowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,The MONK's problems a performance comparison of different learning algorithms.,"CMU-CS-91-197,","School of Computer Science, Carnegie-Mellon University.",,,,,,,,,,,,,(1991).,
500,"S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R. S. Michalski, T.M. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
501,"S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R. S. Michalski, T.M. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
502,"S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R. S. Michalski, T.M. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The MONK's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,December,
503,"Thrun. S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K.A., Dzeroski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J., and Zhang, J.,",,"The MONKs Problems: A Performance Comparison of Different Learning Algorithms,","(revised version),","Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,1991.,
504,"S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","School of Computer Science, Carnegie Mellon University,",,,,,,,,"Available via anonymous ftp from archive.cis.ohio-state.edu, file /pub/neuroprose/thrun.comparison.ps.Z.",,,,,1991.,
505,"S.B. Thrun, J. Bala, E. Bloedorn, B. Cheng I. Bratko, S. Dzeroski k. De-Jong, S. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, K. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problem: a performance comparison of different learning algorithms.,"Technical report,","Carnegie Mellon University CMU-CS-91-197,",,,,,,,,,,,,,December,
506,"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., 8 Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pa--chowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,The MONK's problems a performance comparison of different learning algorithms.,"CMU-CS-91-197,","School of Computer Science, Carnegie-Mellon University.",,,,,,,,,,,,,(1991).,
507,"S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de Jong, S. Dze-roski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko, J. Kreusiger, R. S. Michalski, T. Mitchell, P. Pachowitz, Y. Reich, H. Vafaic, W. Van de Weldel, W. WEnzel, J. Wnek, and J. Zhang.",,The monk's problems: a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
508,"S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de Jong, S. Dze-roski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko, J. Kreusiger, R. S. Michalski, T. Mitchell, P. Pachowitz, Y. Reich, H. Vafaic, W. Van de Weldel, W. WEnzel, J. Wnek, and J. Zhang.",,The monk's problems: a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
509,"Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzeroski, S., Fisher, D., Fahlman, S., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R., Mitchell, T., Pa-chowicz, P., Reich, Y., Vafaie, H., Van de Welde, W., Wenzel, W., Wnek, J. and Zhang, J.",,The MONK's problems a performance comparison of different learning algorithms.,"CMU-CS-91-197,","School of Computer Science, Carnegie-Mellon University.",,,,,,,,,,,,,(1991).,
510,"S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de Jong, S. Dzeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko, J. Kreusiger, R. S. Michalski, T. Mitchell, P. Pachowitz, Y. Reich, H. Vafaic, W. Van de Weldel, W. WEnzel, J. Wnek, and J. Zhang.",,The monk's problems: a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
511,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Weldel, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems: A performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
512,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Weldel, W. Wenzel, J. Wnek, and J. Zhang.",,The monk's problems: A performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
513,"Thrun, S. B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., D zeroski, S., Fahlman, S. E., Fisher, D., Hamann, R., Kauf-man, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R. S., Mitchell, T., Pachowicz, P., Reich, Y., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J., and Zhang, J.",,The MONK's Problems: a performance comparison of different learning algorithms.,"Technical Report CMU-CS-91-197,",Carnegie Mellon University.,,,,,,,,,,,,,(1991).,
514,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang,",,"The MONK's problems a performance comparison of different learning algorithms,","Technical Report: CMU-CD-91-197,","Carnegie Mellon University,",,,,,,,,,,,,,1991.,
